Date, MaxTemperature, MinTemperature, AvgTemperature, AvgTemperatureDeparture, HDD, CDD, Precipitation, Snowfall, SnowDepth
2022-08-01, 96, 60, 78, M, 0, 13, T, M, M
2022-08-02, 96, 64, 80, M, 0, 15, 0.00, M, M
2022-08-03, 91, 63, 77, M, 0, 12, 0.00, M, M
2022-08-04, 98, 58, 78, M, 0, 13, 0.00, M, M
2022-08-05, 101, 61, 81, M, 0, 16, 0.00, M, M
2022-08-06, 92, 68, 80, M, 0, 15, 0.00, M, M
2022-08-07, 88, 65, 77, M, 0, 12, 1.21, M, M
2022-08-08, 89, 62, 76, M, 0, 11, 0.00, M, M
2022-08-09, 96, 62, 79, M, 0, 14, 0.00, M, M
2022-08-10, 96, 61, 79, M, 0, 14, 0.00, M, M
2022-08-11, 98, 62, 80, M, 0, 15, 0.00, M, M
2022-08-12, 97, 68, 83, M, 0, 18, 0.00, M, M
2022-08-13, 91, 65, 78, M, 0, 13, 0.03, M, M
2022-08-14, 94, 63, 79, M, 0, 14, T, M, M
2022-08-15, 85, 64, 75, M, 0, 10, 0.14, M, M
2022-08-16, 76, 64, 70, M, 0, 5, 0.00, M, M
2022-08-17, 86, 60, 73, M, 0, 8, 0.00, M, M
2022-08-18, 91, 55, 73, M, 0, 8, 0.00, M, M
2022-08-19, 86, 55, 71, M, 0, 6, 0.00, M, M
2022-08-20, 83, 58, 71, M, 0, 6, T, M, M
2022-08-21, 85, 57, 71, M, 0, 6, 0.00, M, M
2022-08-22, 89, 54, 72, M, 0, 7, 0.00, M, M
2022-08-23, 89, 54, 72, M, 0, 7, 0.00, M, M
2022-08-24, 91, 56, 74, M, 0, 9, 0.00, M, M
2022-08-25, 85, 57, 71, M, 0, 6, T, M, M
2022-08-26, 85, 60, 73, M, 0, 8, T, M, M
2022-08-27, 91, 52, 72, M, 0, 7, 0.00, M, M
2022-08-28, 93, 61, 77, M, 0, 12, 0.00, M, M
2022-08-29, 89, 55, 72, M, 0, 7, 0.00, M, M
2022-08-30, 94, 54, 74, M, 0, 9, 0.00, M, M
2022-08-31, 92, 59, 76, M, 0, 11, T, M, M
2022-09-01, 94, 55, 75, M, 0, 10, 0.00, M, M
2022-09-02, 96, 58, 77, M, 0, 12, 0.20, M, M
2022-09-03, 90, 57, 74, M, 0, 9, 0.00, M, M
2022-09-04, 95, 56, 76, M, 0, 11, 0.00, M, M
2022-09-05, 100, 56, 78, M, 0, 13, 0.00, M, M
2022-09-06, 100, 56, 78, M, 0, 13, 0.00, M, M
2022-09-07, 97, 59, 78, M, 0, 13, 0.00, M, M
2022-09-08, 97, 55, 76, M, 0, 11, T, M, M
2022-09-09, 60, 48, 54, M, 11, 0, 0.33, M, M
2022-09-10, 54, 46, 50, M, 15, 0, 0.14, M, M
2022-09-11, 77, 44, 61, M, 4, 0, 0.00, M, M
2022-09-12, 89, 47, 68, M, 0, 3, 0.00, M, M
2022-09-13, 84, 49, 67, M, 0, 2, 0.00, M, M
2022-09-14, 83, 57, 70, M, 0, 5, 0.00, M, M
2022-09-15, 82, 55, 69, M, 0, 4, T, M, M
2022-09-16, 79, 51, 65, M, 0, 0, T, M, M
2022-09-17, 84, 52, 68, M, 0, 3, T, M, M
2022-09-18, 85, 51, 68, M, 0, 3, 0.00, M, M
2022-09-19, 93, 52, 73, M, 0, 8, 0.00, M, M
2022-09-20, 92, 53, 73, M, 0, 8, 0.00, M, M
2022-09-21, 61, 49, 55, M, 10, 0, 0.40, M, M
2022-09-22, 58, 48, 53, M, 12, 0, 0.03, M, M
2022-09-23, 83, 46, 65, M, 0, 0, 0.01, M, M
2022-09-24, 82, 43, 63, M, 2, 0, 0.00, M, M
2022-09-25, 75, 44, 60, M, 5, 0, 0.00, M, M
2022-09-26, 84, 46, 65, M, 0, 0, 0.00, M, M
2022-09-27, 80, 48, 64, M, 1, 0, T, M, M
2022-09-28, 85, 44, 65, M, 0, 0, 0.00, M, M
2022-09-29, 87, 50, 69, M, 0, 4, T, M, M
2022-09-30, 75, 48, 62, M, 3, 0, 0.03, M, M
2022-10-01, 72, 47, 60, M, 5, 0, 0.04, M, M
2022-10-02, 73, 46, 60, M, 5, 0, 0.00, M, M
